id,date,taskorder,tasknumber,taskordernumber,geomtasktime,metatasktime,totaltime,correctgeom,correctmetadata,total_correct_elements,correct_buildings_geom,correct_buildings_meta,participant,task
574,2017-05-05 10:33:49.604590+00:00,"[4, 3, 2, 1]",1,3,25,22,47,4,5,9,"[10, 11, 12, 14]","[9, 10, 12, 13, 14]","id: 477, experienced: False, age: 24","id: 1, title: Building geometry and metadata"
353,2017-05-03 18:38:23.543983+00:00,"[4, 3, 2, 1]",1,3,32,25,57,6,6,12,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5, 6]","id: 350, experienced: True, age: 34","id: 1, title: Building geometry and metadata"
392,2017-05-03 21:10:23.597258+00:00,"[4, 3, 2, 1]",1,3,37,31,68,4,6,10,"[15, 16, 17, 19]","[15, 16, 17, 18, 19, 20]","id: 308, experienced: True, age: 24","id: 1, title: Building geometry and metadata"
676,2017-05-06 06:57:00.725260+00:00,"[4, 3, 2, 1]",1,3,54,14,68,2,3,5,"[19, 20]","[18, 19, 20]","id: 542, experienced: False, age: 22","id: 1, title: Building geometry and metadata"
209,2017-05-03 07:21:46.638897+00:00,"[4, 3, 2, 1]",1,3,43,29,72,4,3,7,"[9, 10, 11, 12]","[9, 10, 13]","id: 232, experienced: True, age: 22","id: 1, title: Building geometry and metadata"
687,2017-05-06 10:19:04.700384+00:00,"[4, 2, 1, 3]",1,2,45,29,74,4,6,10,"[10, 11, 12, 14]","[9, 10, 11, 12, 13, 14]","id: 548, experienced: True, age: 22","id: 1, title: Building geometry and metadata"
635,2017-05-05 13:18:58.198327+00:00,"[4, 3, 2, 1]",1,3,39,38,77,6,5,11,"[9, 10, 11, 12, 13, 14]","[9, 10, 11, 12, 13]","id: 516, experienced: False, age: 45","id: 1, title: Building geometry and metadata"
626,2017-05-05 12:54:24.011337+00:00,"[4, 2, 1, 3]",1,2,50,28,78,4,5,9,"[1, 2, 5, 6]","[1, 2, 3, 4, 5]","id: 513, experienced: False, age: 25","id: 1, title: Building geometry and metadata"
189,2017-05-02 10:51:34.949623+00:00,"[4, 3, 2, 1]",1,3,45,34,79,6,6,12,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5, 6]","id: 225, experienced: True, age: 25","id: 1, title: Building geometry and metadata"
803,2017-05-08 22:05:51.272591+00:00,"[4, 1, 3, 2]",1,1,46,33,79,3,6,9,"[17, 18, 19]","[15, 16, 17, 18, 19, 20]","id: 596, experienced: True, age: 33","id: 1, title: Building geometry and metadata"
446,2017-05-04 10:13:58.524574+00:00,"[4, 2, 3, 1]",1,3,52,34,86,1,6,7,[19],"[15, 16, 17, 18, 19, 20]","id: 420, experienced: False, age: 22","id: 1, title: Building geometry and metadata"
278,2017-05-03 12:37:45.100272+00:00,"[4, 3, 2, 1]",1,3,59,28,87,6,5,11,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5]","id: 273, experienced: True, age: 31","id: 1, title: Building geometry and metadata"
673,2017-05-05 20:15:44.238226+00:00,"[4, 3, 2, 1]",1,3,58,33,91,5,5,10,"[2, 3, 4, 5, 6]","[1, 3, 4, 5, 6]","id: 538, experienced: True, age: 24","id: 1, title: Building geometry and metadata"
714,2017-05-07 11:43:08.927215+00:00,"[4, 2, 3, 1]",1,3,43,48,91,4,6,10,"[10, 11, 12, 14]","[9, 10, 11, 12, 13, 14]","id: 559, experienced: False, age: 22","id: 1, title: Building geometry and metadata"
192,2017-05-02 11:19:54.909790+00:00,"[4, 1, 2, 3]",1,1,45,47,92,5,6,11,"[2, 3, 4, 5, 6]","[1, 2, 3, 4, 5, 6]","id: 226, experienced: False, age: 24","id: 1, title: Building geometry and metadata"
517,2017-05-05 06:48:22.965911+00:00,"[4, 3, 2, 1]",1,3,63,30,93,4,6,10,"[10, 11, 12, 14]","[9, 10, 11, 12, 13, 14]","id: 454, experienced: True, age: 40","id: 1, title: Building geometry and metadata"
665,2017-05-05 19:23:07.092753+00:00,"[4, 2, 3, 1]",1,3,73,25,98,5,6,11,"[2, 3, 4, 5, 6]","[1, 2, 3, 4, 5, 6]","id: 536, experienced: False, age: 22","id: 1, title: Building geometry and metadata"
167,2017-05-02 09:44:45.120381+00:00,"[4, 2, 3, 1]",1,3,54,45,99,4,6,10,"[2, 3, 5, 6]","[1, 2, 3, 4, 5, 6]","id: 210, experienced: False, age: 23","id: 1, title: Building geometry and metadata"
311,2017-05-03 15:12:45.750397+00:00,"[4, 3, 1, 2]",1,2,63,36,99,6,6,12,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5, 6]","id: 296, experienced: True, age: 43","id: 1, title: Building geometry and metadata"
175,2017-05-02 09:57:52.816335+00:00,"[4, 1, 2, 3]",1,1,52,48,100,4,5,9,"[15, 16, 17, 19]","[15, 16, 17, 18, 19]","id: 220, experienced: False, age: 25","id: 1, title: Building geometry and metadata"
793,2017-05-08 14:20:03.736344+00:00,"[4, 2, 3, 1]",1,3,62,39,101,6,6,12,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5, 6]","id: 592, experienced: True, age: 25","id: 1, title: Building geometry and metadata"
501,2017-05-04 21:52:51.797734+00:00,"[4, 2, 3, 1]",1,3,54,48,102,5,5,10,"[15, 16, 17, 18, 19]","[15, 17, 18, 19, 20]","id: 448, experienced: True, age: 22","id: 1, title: Building geometry and metadata"
753,2017-05-08 06:49:46.664268+00:00,"[4, 2, 3, 1]",1,3,71,32,103,5,6,11,"[10, 11, 12, 13, 14]","[9, 10, 11, 12, 13, 14]","id: 573, experienced: True, age: 30","id: 1, title: Building geometry and metadata"
445,2017-05-04 10:13:53.435131+00:00,"[4, 3, 1, 2]",1,2,68,35,103,3,6,9,"[10, 11, 12]","[9, 10, 11, 12, 13, 14]","id: 421, experienced: False, age: 22","id: 1, title: Building geometry and metadata"
526,2017-05-05 07:37:11.983314+00:00,"[4, 3, 1, 2]",1,2,38,66,104,2,5,7,"[15, 16]","[15, 16, 17, 18, 20]","id: 459, experienced: True, age: 51","id: 1, title: Building geometry and metadata"
376,2017-05-03 19:51:48.074059+00:00,"[4, 3, 1, 2]",1,2,76,28,104,6,6,12,"[15, 16, 17, 18, 19, 20]","[15, 16, 17, 18, 19, 20]","id: 366, experienced: False, age: 29","id: 1, title: Building geometry and metadata"
593,2017-05-05 10:55:51.423639+00:00,"[4, 2, 3, 1]",1,3,75,30,105,4,4,8,"[15, 17, 18, 20]","[16, 18, 19, 20]","id: 476, experienced: True, age: 46","id: 1, title: Building geometry and metadata"
246,2017-05-03 10:18:33.379381+00:00,"[4, 3, 2, 1]",1,3,68,38,106,5,6,11,"[15, 16, 17, 18, 19]","[15, 16, 17, 18, 19, 20]","id: 250, experienced: True, age: 23","id: 1, title: Building geometry and metadata"
242,2017-05-03 09:58:44.995943+00:00,"[4, 2, 3, 1]",1,3,80,26,106,5,6,11,"[15, 16, 17, 18, 19]","[15, 16, 17, 18, 19, 20]","id: 248, experienced: False, age: 24","id: 1, title: Building geometry and metadata"
554,2017-05-05 09:58:51.902544+00:00,"[4, 3, 1, 2]",1,2,60,47,107,5,4,9,"[15, 16, 17, 19, 20]","[17, 18, 19, 20]","id: 471, experienced: True, age: 42","id: 1, title: Building geometry and metadata"
339,2017-05-03 17:39:40.574868+00:00,"[4, 3, 2, 1]",1,3,52,56,108,4,5,9,"[10, 11, 12, 14]","[9, 10, 11, 12, 13]","id: 337, experienced: False, age: 24","id: 1, title: Building geometry and metadata"
180,2017-05-02 10:26:43.697271+00:00,"[4, 1, 3, 2]",1,1,53,55,108,6,6,12,"[15, 16, 17, 18, 19, 20]","[15, 16, 17, 18, 19, 20]","id: 221, experienced: True, age: 23","id: 1, title: Building geometry and metadata"
208,2017-05-03 07:21:04.123694+00:00,"[4, 2, 1, 3]",1,2,66,44,110,4,6,10,"[10, 11, 12, 14]","[9, 10, 11, 12, 13, 14]","id: 230, experienced: True, age: 29","id: 1, title: Building geometry and metadata"
783,2017-05-08 11:48:56.924159+00:00,"[4, 1, 3, 2]",1,1,70,40,110,5,6,11,"[15, 16, 17, 18, 19]","[15, 16, 17, 18, 19, 20]","id: 575, experienced: False, age: 21","id: 1, title: Building geometry and metadata"
741,2017-05-08 06:04:00.269934+00:00,"[4, 3, 2, 1]",1,3,65,48,113,3,3,6,"[10, 12, 14]","[9, 12, 13]","id: 569, experienced: False, age: 47","id: 1, title: Building geometry and metadata"
421,2017-05-04 07:23:04.805480+00:00,"[4, 3, 2, 1]",1,3,79,36,115,6,6,12,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5, 6]","id: 407, experienced: False, age: 26","id: 1, title: Building geometry and metadata"
768,2017-05-08 10:16:53.010693+00:00,"[4, 2, 1, 3]",1,2,60,55,115,4,4,8,"[10, 11, 12, 14]","[9, 12, 13, 14]","id: 586, experienced: False, age: 20","id: 1, title: Building geometry and metadata"
220,2017-05-03 07:57:55.158594+00:00,"[4, 2, 1, 3]",1,2,60,55,115,4,3,7,"[15, 17, 18, 19]","[18, 19, 20]","id: 235, experienced: False, age: 24","id: 1, title: Building geometry and metadata"
509,2017-05-05 06:33:35.491302+00:00,"[4, 3, 1, 2]",1,2,53,64,117,6,4,10,"[1, 2, 3, 4, 5, 6]","[1, 2, 4, 5]","id: 452, experienced: True, age: 38","id: 1, title: Building geometry and metadata"
646,2017-05-05 13:59:49.092932+00:00,"[4, 3, 1, 2]",1,2,69,50,119,6,6,12,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5, 6]","id: 521, experienced: False, age: 21","id: 1, title: Building geometry and metadata"
269,2017-05-03 11:39:01.366704+00:00,"[4, 2, 1, 3]",1,2,76,43,119,4,6,10,"[15, 16, 17, 19]","[15, 16, 17, 18, 19, 20]","id: 264, experienced: False, age: 25","id: 1, title: Building geometry and metadata"
691,2017-05-06 11:07:08.551978+00:00,"[4, 2, 1, 3]",1,2,83,37,120,6,6,12,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5, 6]","id: 549, experienced: True, age: 23","id: 1, title: Building geometry and metadata"
295,2017-05-03 14:00:08.935767+00:00,"[4, 3, 1, 2]",1,2,94,30,124,6,5,11,"[9, 10, 11, 12, 13, 14]","[9, 10, 12, 13, 14]","id: 284, experienced: True, age: 45","id: 1, title: Building geometry and metadata"
397,2017-05-03 21:15:13.494294+00:00,"[4, 2, 1, 3]",1,2,56,68,124,5,5,10,"[15, 16, 17, 18, 19]","[15, 17, 18, 19, 20]","id: 374, experienced: True, age: 24","id: 1, title: Building geometry and metadata"
720,2017-05-07 15:06:29.816532+00:00,"[4, 1, 2, 3]",1,1,60,66,126,4,5,9,"[15, 16, 18, 19]","[15, 16, 18, 19, 20]","id: 561, experienced: False, age: 21","id: 1, title: Building geometry and metadata"
678,2017-05-06 08:11:22.799684+00:00,"[4, 1, 2, 3]",1,1,74,53,127,5,6,11,"[2, 3, 4, 5, 6]","[1, 2, 3, 4, 5, 6]","id: 543, experienced: False, age: 21","id: 1, title: Building geometry and metadata"
541,2017-05-05 08:09:46.038820+00:00,"[4, 3, 1, 2]",1,2,75,54,129,6,6,12,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5, 6]","id: 465, experienced: True, age: 44","id: 1, title: Building geometry and metadata"
777,2017-05-08 10:33:16.535606+00:00,"[4, 3, 2, 1]",1,3,90,40,130,5,6,11,"[10, 11, 12, 13, 14]","[9, 10, 11, 12, 13, 14]","id: 589, experienced: True, age: 52","id: 1, title: Building geometry and metadata"
682,2017-05-06 10:03:39.800808+00:00,"[4, 1, 2, 3]",1,1,78,53,131,5,6,11,"[2, 3, 4, 5, 6]","[1, 2, 3, 4, 5, 6]","id: 547, experienced: True, age: 24","id: 1, title: Building geometry and metadata"
613,2017-05-05 12:03:59.158559+00:00,"[4, 1, 2, 3]",1,1,89,42,131,4,4,8,"[15, 16, 17, 19]","[15, 18, 19, 20]","id: 506, experienced: False, age: 27","id: 1, title: Building geometry and metadata"
617,2017-05-05 12:13:32.865368+00:00,"[4, 1, 3, 2]",1,1,68,63,131,4,4,8,"[2, 3, 5, 6]","[1, 2, 3, 4]","id: 507, experienced: True, age: 22","id: 1, title: Building geometry and metadata"
779,2017-05-08 11:06:54.918900+00:00,"[4, 1, 2, 3]",1,1,78,53,131,4,5,9,"[10, 11, 12, 14]","[9, 10, 12, 13, 14]","id: 590, experienced: False, age: 31","id: 1, title: Building geometry and metadata"
736,2017-05-08 05:13:09.403054+00:00,"[4, 2, 1, 3]",1,2,95,37,132,4,6,10,"[15, 16, 17, 19]","[15, 16, 17, 18, 19, 20]","id: 566, experienced: False, age: 40","id: 1, title: Building geometry and metadata"
410,2017-05-04 05:27:48.933633+00:00,"[4, 2, 1, 3]",1,2,88,45,133,5,6,11,"[1, 3, 4, 5, 6]","[1, 2, 3, 4, 5, 6]","id: 402, experienced: True, age: 39","id: 1, title: Building geometry and metadata"
610,2017-05-05 11:07:26.837882+00:00,"[4, 2, 3, 1]",1,3,75,58,133,6,6,12,"[15, 16, 17, 18, 19, 20]","[15, 16, 17, 18, 19, 20]","id: 490, experienced: False, age: 50","id: 1, title: Building geometry and metadata"
380,2017-05-03 20:14:39.945478+00:00,"[4, 1, 3, 2]",1,1,58,76,134,5,4,9,"[15, 16, 17, 18, 19]","[15, 18, 19, 20]","id: 373, experienced: True, age: 36","id: 1, title: Building geometry and metadata"
420,2017-05-04 07:21:05.099894+00:00,"[4, 1, 2, 3]",1,1,80,54,134,6,5,11,"[9, 10, 11, 12, 13, 14]","[9, 10, 12, 13, 14]","id: 408, experienced: True, age: 37","id: 1, title: Building geometry and metadata"
373,2017-05-03 19:49:19.745620+00:00,"[4, 1, 2, 3]",1,1,75,61,136,5,6,11,"[15, 16, 17, 18, 19]","[15, 16, 17, 18, 19, 20]","id: 368, experienced: True, age: 26","id: 1, title: Building geometry and metadata"
495,2017-05-04 20:14:05.487731+00:00,"[4, 1, 2, 3]",1,1,66,71,137,6,6,12,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5, 6]","id: 447, experienced: True, age: 23","id: 1, title: Building geometry and metadata"
637,2017-05-05 13:36:12.091835+00:00,"[4, 2, 1, 3]",1,2,98,39,137,4,5,9,"[10, 11, 12, 14]","[10, 11, 12, 13, 14]","id: 489, experienced: False, age: 24","id: 1, title: Building geometry and metadata"
312,2017-05-03 15:13:34.562605+00:00,"[4, 2, 3, 1]",1,3,100,37,137,5,4,9,"[2, 3, 4, 5, 6]","[1, 2, 3, 4]","id: 295, experienced: False, age: 50","id: 1, title: Building geometry and metadata"
758,2017-05-08 08:45:06.175651+00:00,"[4, 3, 1, 2]",1,2,73,64,137,6,4,10,"[1, 2, 3, 4, 5, 6]","[1, 3, 4, 5]","id: 579, experienced: False, age: 19","id: 1, title: Building geometry and metadata"
251,2017-05-03 10:38:41.578303+00:00,"[4, 3, 1, 2]",1,2,74,65,139,5,6,11,"[15, 16, 17, 18, 19]","[15, 16, 17, 18, 19, 20]","id: 249, experienced: True, age: 23","id: 1, title: Building geometry and metadata"
559,2017-05-05 10:13:04.600167+00:00,"[4, 1, 2, 3]",1,1,82,58,140,5,6,11,"[15, 16, 17, 18, 19]","[15, 16, 17, 18, 19, 20]","id: 473, experienced: True, age: 24","id: 1, title: Building geometry and metadata"
698,2017-05-06 15:42:57.012159+00:00,"[4, 1, 3, 2]",1,1,64,76,140,4,5,9,"[10, 11, 12, 14]","[9, 10, 12, 13, 14]","id: 553, experienced: False, age: 21","id: 1, title: Building geometry and metadata"
200,2017-05-02 13:45:14.736471+00:00,"[4, 1, 3, 2]",1,1,69,73,142,5,4,9,"[15, 16, 17, 19, 20]","[17, 18, 19, 20]","id: 227, experienced: False, age: 30","id: 1, title: Building geometry and metadata"
283,2017-05-03 12:56:11.525835+00:00,"[4, 1, 3, 2]",1,1,76,66,142,6,5,11,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5]","id: 275, experienced: True, age: 24","id: 1, title: Building geometry and metadata"
314,2017-05-03 15:14:29.242774+00:00,"[4, 1, 2, 3]",1,1,77,68,145,6,5,11,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5]","id: 298, experienced: True, age: 31","id: 1, title: Building geometry and metadata"
773,2017-05-08 10:26:39.747010+00:00,"[4, 3, 1, 2]",1,2,98,48,146,5,6,11,"[1, 3, 4, 5, 6]","[1, 2, 3, 4, 5, 6]","id: 588, experienced: False, age: 25","id: 1, title: Building geometry and metadata"
652,2017-05-05 15:27:37.437047+00:00,"[4, 2, 1, 3]",1,2,90,57,147,5,6,11,"[10, 11, 12, 13, 14]","[9, 10, 11, 12, 13, 14]","id: 531, experienced: False, age: 22","id: 1, title: Building geometry and metadata"
414,2017-05-04 06:57:21.824464+00:00,"[4, 3, 1, 2]",1,2,95,52,147,4,6,10,"[9, 10, 13, 14]","[9, 10, 11, 12, 13, 14]","id: 406, experienced: True, age: 34","id: 1, title: Building geometry and metadata"
449,2017-05-04 11:26:28.427262+00:00,"[4, 1, 3, 2]",1,1,111,36,147,5,6,11,"[15, 16, 17, 18, 19]","[15, 16, 17, 18, 19, 20]","id: 418, experienced: False, age: 32","id: 1, title: Building geometry and metadata"
320,2017-05-03 15:48:02.736642+00:00,"[4, 3, 2, 1]",1,3,105,43,148,6,4,10,"[1, 2, 3, 4, 5, 6]","[2, 3, 5, 6]","id: 303, experienced: False, age: 21","id: 1, title: Building geometry and metadata"
788,2017-05-08 13:04:25.733854+00:00,"[4, 2, 1, 3]",1,2,80,69,149,6,5,11,"[1, 2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]","id: 591, experienced: False, age: 40","id: 1, title: Building geometry and metadata"
748,2017-05-08 06:30:03.292603+00:00,"[4, 2, 1, 3]",1,2,91,60,151,5,6,11,"[10, 11, 12, 13, 14]","[9, 10, 11, 12, 13, 14]","id: 572, experienced: False, age: 22","id: 1, title: Building geometry and metadata"
