correct,task
5,task1
6,task1
7,task1
7,task1
7,task1
7,task1
7,task1
8,task1
8,task1
8,task1
8,task1
8,task1
8,task1
8,task1
8,task1
8,task1
8,task1
8,task1
9,task1
9,task1
9,task1
9,task1
9,task1
9,task1
9,task1
9,task1
9,task1
9,task1
9,task1
9,task1
9,task1
9,task1
9,task1
9,task1
9,task1
9,task1
9,task1
9,task1
9,task1
9,task1
9,task1
9,task1
9,task1
10,task1
10,task1
10,task1
10,task1
10,task1
10,task1
10,task1
10,task1
10,task1
10,task1
10,task1
10,task1
10,task1
10,task1
10,task1
10,task1
10,task1
10,task1
10,task1
10,task1
10,task1
10,task1
10,task1
10,task1
10,task1
10,task1
10,task1
10,task1
10,task1
11,task1
11,task1
11,task1
11,task1
11,task1
11,task1
11,task1
11,task1
11,task1
11,task1
11,task1
11,task1
11,task1
11,task1
11,task1
11,task1
11,task1
11,task1
11,task1
11,task1
11,task1
11,task1
11,task1
11,task1
11,task1
11,task1
11,task1
11,task1
11,task1
11,task1
11,task1
11,task1
11,task1
11,task1
11,task1
11,task1
11,task1
11,task1
11,task1
11,task1
11,task1
11,task1
11,task1
11,task1
11,task1
11,task1
11,task1
11,task1
11,task1
12,task1
12,task1
12,task1
12,task1
12,task1
12,task1
12,task1
12,task1
12,task1
12,task1
12,task1
12,task1
12,task1
12,task1
12,task1
12,task1
12,task1
12,task1
12,task1
12,task1
12,task1
12,task1
12,task1
12,task1
12,task1
5,task2
6,task2
6,task2
6,task2
7,task2
7,task2
7,task2
7,task2
7,task2
7,task2
7,task2
7,task2
8,task2
8,task2
8,task2
8,task2
8,task2
8,task2
8,task2
8,task2
8,task2
8,task2
8,task2
8,task2
8,task2
8,task2
8,task2
9,task2
9,task2
9,task2
9,task2
9,task2
9,task2
9,task2
9,task2
9,task2
9,task2
9,task2
9,task2
9,task2
9,task2
9,task2
9,task2
9,task2
9,task2
9,task2
9,task2
9,task2
9,task2
9,task2
9,task2
9,task2
9,task2
9,task2
9,task2
9,task2
9,task2
9,task2
9,task2
9,task2
9,task2
9,task2
9,task2
9,task2
10,task2
10,task2
10,task2
10,task2
10,task2
10,task2
10,task2
10,task2
10,task2
10,task2
10,task2
10,task2
10,task2
10,task2
10,task2
10,task2
10,task2
10,task2
10,task2
10,task2
10,task2
10,task2
10,task2
10,task2
10,task2
10,task2
10,task2
10,task2
10,task2
11,task2
11,task2
11,task2
11,task2
11,task2
11,task2
11,task2
11,task2
11,task2
11,task2
11,task2
11,task2
11,task2
11,task2
11,task2
11,task2
11,task2
11,task2
11,task2
11,task2
11,task2
11,task2
11,task2
11,task2
11,task2
11,task2
11,task2
11,task2
11,task2
11,task2
11,task2
12,task2
12,task2
12,task2
12,task2
12,task2
12,task2
12,task2
12,task2
12,task2
12,task2
12,task2
12,task2
12,task2
12,task2
12,task2
12,task2
12,task2
12,task2
4,task3
5,task3
6,task3
7,task3
7,task3
7,task3
7,task3
7,task3
7,task3
7,task3
7,task3
7,task3
7,task3
8,task3
8,task3
8,task3
8,task3
8,task3
8,task3
8,task3
8,task3
8,task3
8,task3
8,task3
8,task3
8,task3
8,task3
8,task3
8,task3
8,task3
8,task3
8,task3
8,task3
8,task3
8,task3
8,task3
9,task3
9,task3
9,task3
9,task3
9,task3
9,task3
9,task3
9,task3
9,task3
9,task3
9,task3
9,task3
9,task3
9,task3
9,task3
9,task3
9,task3
9,task3
9,task3
9,task3
9,task3
9,task3
9,task3
9,task3
10,task3
10,task3
10,task3
10,task3
10,task3
10,task3
10,task3
10,task3
10,task3
10,task3
10,task3
10,task3
10,task3
10,task3
10,task3
10,task3
10,task3
10,task3
10,task3
10,task3
10,task3
10,task3
10,task3
10,task3
10,task3
10,task3
10,task3
10,task3
10,task3
10,task3
10,task3
10,task3
10,task3
10,task3
10,task3
10,task3
10,task3
10,task3
10,task3
10,task3
11,task3
11,task3
11,task3
11,task3
11,task3
11,task3
11,task3
11,task3
11,task3
11,task3
11,task3
11,task3
11,task3
11,task3
11,task3
11,task3
11,task3
11,task3
11,task3
11,task3
11,task3
11,task3
11,task3
11,task3
11,task3
11,task3
11,task3
11,task3
11,task3
11,task3
11,task3
12,task3
12,task3
12,task3
12,task3
12,task3
12,task3
12,task3
12,task3
12,task3
12,task3