totaltime,correct,task
47,5,task1
68,6,task1
77,7,task1
78,7,task1
86,8,task1
91,8,task1
92,8,task1
98,8,task1
99,8,task1
100,9,task1
103,9,task1
104,9,task1
106,9,task1
108,9,task1
110,9,task1
113,9,task1
115,9,task1
115,9,task1
115,9,task1
119,9,task1
119,9,task1
126,9,task1
127,9,task1
131,9,task1
131,9,task1
132,9,task1
133,10,task1
137,10,task1
137,10,task1
137,10,task1
140,10,task1
142,10,task1
146,10,task1
147,10,task1
147,10,task1
148,10,task1
149,11,task1
151,11,task1
152,11,task1
153,11,task1
154,11,task1
155,11,task1
156,11,task1
159,11,task1
163,11,task1
163,11,task1
164,11,task1
165,11,task1
167,11,task1
169,11,task1
170,11,task1
171,11,task1
177,11,task1
179,11,task1
179,11,task1
183,11,task1
188,11,task1
201,11,task1
203,11,task1
207,12,task1
210,12,task1
221,12,task1
225,12,task1
228,12,task1
240,12,task1
241,12,task1
253,12,task1
272,12,task1
302,12,task1
358,12,task1
487,12,task1
50,6,task2
63,7,task2
72,7,task2
74,7,task2
77,8,task2
82,8,task2
83,8,task2
88,8,task2
90,8,task2
91,9,task2
92,9,task2
97,9,task2
98,9,task2
98,9,task2
99,9,task2
108,9,task2
111,9,task2
115,9,task2
122,9,task2
123,9,task2
123,9,task2
128,9,task2
130,9,task2
135,9,task2
137,9,task2
142,9,task2
144,9,task2
146,9,task2
149,10,task2
151,10,task2
152,10,task2
154,10,task2
155,10,task2
156,10,task2
157,10,task2
158,10,task2
159,10,task2
161,10,task2
163,10,task2
167,10,task2
168,10,task2
172,10,task2
184,10,task2
185,11,task2
186,11,task2
190,11,task2
190,11,task2
190,11,task2
192,11,task2
195,11,task2
201,11,task2
203,11,task2
204,11,task2
207,11,task2
218,11,task2
243,11,task2
250,11,task2
251,12,task2
266,12,task2
314,12,task2
369,12,task2
384,12,task2
387,12,task2
455,12,task2
38,4,task3
46,7,task3
59,7,task3
81,7,task3
83,7,task3
84,7,task3
87,7,task3
92,8,task3
95,8,task3
101,8,task3
105,8,task3
105,8,task3
107,8,task3
110,8,task3
116,8,task3
122,8,task3
122,9,task3
124,9,task3
124,9,task3
124,9,task3
124,9,task3
126,9,task3
129,9,task3
129,9,task3
134,9,task3
134,10,task3
136,10,task3
141,10,task3
148,10,task3
152,10,task3
153,10,task3
154,10,task3
154,10,task3
157,10,task3
158,10,task3
159,10,task3
160,10,task3
166,10,task3
167,10,task3
171,10,task3
171,10,task3
175,10,task3
180,10,task3
182,11,task3
184,11,task3
185,11,task3
188,11,task3
190,11,task3
191,11,task3
192,11,task3
194,11,task3
197,11,task3
199,11,task3
209,11,task3
209,11,task3
210,11,task3
224,11,task3
225,11,task3
225,11,task3
228,11,task3
229,11,task3
265,12,task3
322,12,task3
365,12,task3
529,12,task3